work_order_id,turnaround_id,unit,discipline,job_type,work_category,on_critical_path,contractor,planned_start,planned_finish,actual_start,actual_finish,planned_hours,actual_hours,crew_size,planned_cost,actual_cost,material_cost_planned,material_cost_actual,material_ready_on_time,rework_flag,safety_standdown_hours,primary_delay_reason
WO-00001,TAR-2021-CDU,Crude Distillation Unit,Electrical,Inspection,Planned,N,In-House Maintenance,2021-04-21,2021-04-25,2021-04-22,2021-04-26,32.7,34.9,11,4679.0,4956.0,560.0,560.0,Y,N,0.0,Labor Productivity
WO-00002,TAR-2021-CDU,Crude Distillation Unit,Inspection/NDT,Overhaul,Discovery,N,In-House Maintenance,2021-04-14,2021-04-18,2021-04-14,2021-04-22,60.4,123.1,13,9577.0,18906.0,747.0,909.0,N,N,0.0,Scope Growth / Discovery
WO-00003,TAR-2021-CDU,Crude Distillation Unit,Scaffolding,Cleaning,Discovery,N,Delta Mechanical Ltd,2021-04-26,2021-05-06,2021-04-26,2021-05-19,95.8,225.0,10,8098.0,17358.0,1231.0,1231.0,Y,Y,0.0,Scope Growth / Discovery
WO-00004,TAR-2021-CDU,Crude Distillation Unit,Piping,Replacement,Planned,N,Delta Mechanical Ltd,2021-04-24,2021-05-03,2021-04-25,2021-05-07,134.0,183.6,11,15291.0,19940.0,2732.0,2732.0,Y,N,0.0,Permit / Isolation Wait
WO-00005,TAR-2021-CDU,Crude Distillation Unit,Inspection/NDT,Inspection,Planned,N,Apex Turnaround Services,2021-04-23,2021-04-30,2021-04-23,2021-04-30,62.4,58.4,6,11561.0,10967.0,2302.0,2302.0,Y,N,0.0,On Plan
WO-00006,TAR-2021-CDU,Crude Distillation Unit,Civil,Repair,Emergent,N,In-House Maintenance,2021-04-11,2021-04-23,2021-04-11,2021-04-25,202.2,244.0,10,25439.0,28693.0,9700.0,9700.0,Y,N,0.0,Scope Growth / Discovery
WO-00007,TAR-2021-CDU,Crude Distillation Unit,Piping,Inspection,Planned,N,In-House Maintenance,2021-04-22,2021-05-03,2021-04-22,2021-05-04,92.3,99.8,13,11115.0,11846.0,2123.0,2123.0,Y,N,0.0,Permit / Isolation Wait
WO-00008,TAR-2021-CDU,Crude Distillation Unit,Valves,Repair,Discovery,Y,Apex Turnaround Services,2021-04-08,2021-04-18,2021-04-08,2021-04-30,163.37282943262824,351.5,10,23688.0,43640.0,6362.0,6362.0,Y,Y,0.0,Scope Growth / Discovery
WO-00009,TAR-2021-CDU,Crude Distillation Unit,Electrical,Repair,Planned,N,Northgate Industrial,2021-04-13,2021-04-18,2021-04-13,2021-04-18,41.4,38.5,7,6128.0,5739.0,582.0,582.0,Y,N,0.0,On Plan
WO-00010,TAR-2021-CDU,Crude Distillation Unit,Catalyst Handling,Overhaul,Discovery,N,Sterling TAR Contractors,2021-05-01,2021-05-11,2021-05-01,2021-05-17,99.5,163.1,6,14741.0,21192.0,4649.0,4649.0,Y,N,0.0,Scope Growth / Discovery
WO-00011,TAR-2021-CDU,Crude Distillation Unit,Scaffolding,Cleaning,Planned,N,Delta Mechanical Ltd,2021-04-20,2021-04-24,2021-04-20,2021-04-26,61.8,99.7,10,7028.0,9617.0,2806.0,2806.0,Y,Y,0.0,Rework / Quality
WO-00012,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Repair,Planned,N,In-House Maintenance,2021-04-09,2021-04-18,2021-04-10,2021-04-23,164.3,234.2,10,31870.0,41700.0,8765.0,8765.0,Y,Y,0.0,Rework / Quality
WO-00013,TAR-2021-CDU,Crude Distillation Unit,Piping,Inspection,Discovery,Y,Sterling TAR Contractors,2021-04-24,2021-04-29,2021-04-25,2021-05-04,81.06504893337028,145.3,3,8990.0,15428.0,1426.0,1870.0,N,N,0.0,Scope Growth / Discovery
WO-00014,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Repair,Planned,N,In-House Maintenance,2021-04-25,2021-04-30,2021-04-26,2021-05-02,68.6,79.5,5,11589.0,13050.0,2399.0,2399.0,Y,N,0.0,Permit / Isolation Wait
WO-00015,TAR-2021-CDU,Crude Distillation Unit,Valves,Inspection,Discovery,N,Delta Mechanical Ltd,2021-04-30,2021-05-31,2021-05-01,2021-07-10,584.0,1325.5,4,75092.0,162385.0,6340.0,6340.0,Y,N,0.0,Scope Growth / Discovery
WO-00016,TAR-2021-CDU,Crude Distillation Unit,Electrical,Cleaning,Discovery,N,Sterling TAR Contractors,2021-04-09,2021-04-15,2021-04-10,2021-04-20,75.8,122.5,5,11108.0,16830.0,1820.0,1820.0,Y,N,0.0,Scope Growth / Discovery
WO-00017,TAR-2021-CDU,Crude Distillation Unit,Piping,Overhaul,Discovery,N,Northgate Industrial,2021-05-03,2021-06-02,2021-05-04,2021-06-29,273.9,512.6,9,40265.0,65126.0,13195.0,14465.0,N,N,0.0,Scope Growth / Discovery
WO-00018,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Overhaul,Emergent,N,Northgate Industrial,2021-04-23,2021-04-27,2021-04-24,2021-04-29,56.7,72.3,11,9767.0,12004.0,1635.0,1635.0,Y,N,0.0,Scope Growth / Discovery
WO-00019,TAR-2021-CDU,Crude Distillation Unit,Electrical,Inspection,Planned,N,In-House Maintenance,2021-04-14,2021-04-17,2021-04-15,2021-04-19,26.9,33.8,3,3954.0,4803.0,641.0,641.0,Y,N,0.0,Permit / Isolation Wait
WO-00020,TAR-2021-CDU,Crude Distillation Unit,Insulation,Replacement,Planned,N,In-House Maintenance,2021-04-21,2021-04-24,2021-04-21,2021-04-25,45.8,62.9,10,4603.0,6189.0,1595.0,2058.0,N,N,0.0,Material Delay
WO-00021,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Static/Vessels),Repair,Planned,N,Sterling TAR Contractors,2021-05-04,2021-05-15,2021-05-04,2021-05-19,117.6,162.9,3,19447.0,25028.0,5875.0,6228.0,N,N,0.0,Material Delay
WO-00022,TAR-2021-CDU,Crude Distillation Unit,Electrical,Inspection,Planned,N,Apex Turnaround Services,2021-04-30,2021-05-09,2021-04-30,2021-05-11,75.0,92.7,4,12863.0,15187.0,3016.0,3016.0,Y,N,0.0,Inspection Hold
WO-00023,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Overhaul,Planned,N,Delta Mechanical Ltd,2021-04-18,2021-04-23,2021-04-19,2021-04-24,53.7,53.4,6,9832.0,9792.0,2649.0,2649.0,Y,N,0.0,On Plan
WO-00024,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Static/Vessels),Cleaning,Emergent,N,In-House Maintenance,2021-04-09,2021-04-15,2021-04-09,2021-04-25,71.3,190.7,5,9500.0,24076.0,844.0,926.0,N,N,0.0,Scope Growth / Discovery
WO-00025,TAR-2021-CDU,Crude Distillation Unit,Piping,Repair,Planned,N,Sterling TAR Contractors,2021-04-22,2021-04-24,2021-04-23,2021-04-25,26.8,22.4,4,3663.0,3228.0,1012.0,1012.0,Y,N,0.0,On Plan
WO-00026,TAR-2021-CDU,Crude Distillation Unit,Valves,Repair,Planned,N,Northgate Industrial,2021-05-01,2021-05-12,2021-05-02,2021-05-15,95.2,116.7,2,11013.0,13295.0,907.0,907.0,Y,N,0.0,Labor Productivity
WO-00027,TAR-2021-CDU,Crude Distillation Unit,Piping,Cleaning,Planned,N,Apex Turnaround Services,2021-04-15,2021-04-19,2021-04-15,2021-04-19,64.4,52.7,10,7794.0,6627.0,1368.0,1368.0,Y,N,0.0,On Plan
WO-00028,TAR-2021-CDU,Crude Distillation Unit,Piping,Replacement,Planned,Y,Northgate Industrial,2021-04-18,2021-04-30,2021-04-19,2021-05-03,158.09752497676456,182.2,3,21225.0,23424.0,6800.0,6800.0,Y,N,0.0,Labor Productivity
WO-00029,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Static/Vessels),Repair,Emergent,Y,Northgate Industrial,2021-04-14,2021-04-19,2021-04-14,2021-04-20,84.43759962006897,94.0,10,12244.0,14073.0,1907.0,2566.0,N,N,0.0,Scope Growth / Discovery
WO-00030,TAR-2021-CDU,Crude Distillation Unit,Valves,Overhaul,Emergent,N,Sterling TAR Contractors,2021-04-05,2021-04-09,2021-04-05,2021-04-13,34.1,64.3,5,4918.0,8207.0,1205.0,1205.0,Y,N,0.0,Scope Growth / Discovery
WO-00031,TAR-2021-CDU,Crude Distillation Unit,Instrumentation,Repair,Planned,N,Sterling TAR Contractors,2021-05-04,2021-05-07,2021-05-04,2021-05-08,68.3,82.7,5,11672.0,13585.0,2599.0,2599.0,Y,N,0.0,Permit / Isolation Wait
WO-00032,TAR-2021-CDU,Crude Distillation Unit,Instrumentation,Inspection,Discovery,N,In-House Maintenance,2021-04-12,2021-04-17,2021-04-12,2021-04-20,60.6,101.8,13,11237.0,16969.0,2806.0,2806.0,Y,N,0.0,Scope Growth / Discovery
WO-00033,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Cleaning,Planned,N,In-House Maintenance,2021-04-05,2021-04-07,2021-04-06,2021-04-08,46.3,40.3,10,7371.0,6570.0,1188.0,1188.0,Y,N,0.0,On Plan
WO-00034,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Static/Vessels),Repair,Discovery,N,Northgate Industrial,2021-04-21,2021-04-22,2021-04-21,2021-04-22,21.0,27.3,4,3037.0,3784.0,546.0,546.0,Y,N,0.0,Scope Growth / Discovery
WO-00035,TAR-2021-CDU,Crude Distillation Unit,Instrumentation,Overhaul,Planned,N,Sterling TAR Contractors,2021-04-15,2021-05-11,2021-04-15,2021-05-21,296.9,414.0,12,50090.0,66040.0,9650.0,9650.0,Y,Y,0.0,Rework / Quality
WO-00036,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Static/Vessels),Cleaning,Planned,N,Apex Turnaround Services,2021-04-18,2021-04-28,2021-04-19,2021-05-01,141.1,162.7,13,24095.0,26824.0,6266.0,6266.0,Y,N,0.0,Permit / Isolation Wait
WO-00037,TAR-2021-CDU,Crude Distillation Unit,Instrumentation,Inspection,Discovery,N,Apex Turnaround Services,2021-04-28,2021-05-14,2021-04-28,2021-05-28,141.7,268.3,12,23024.0,39633.0,4434.0,4434.0,Y,Y,5.4,Scope Growth / Discovery
WO-00038,TAR-2021-CDU,Crude Distillation Unit,Piping,Inspection,Planned,N,In-House Maintenance,2021-04-20,2021-04-27,2021-04-21,2021-04-28,120.4,122.7,5,16835.0,17055.0,5328.0,5328.0,Y,N,0.0,On Plan
WO-00039,TAR-2021-CDU,Crude Distillation Unit,Piping,Repair,Planned,N,Sterling TAR Contractors,2021-04-05,2021-04-16,2021-04-06,2021-04-20,99.3,126.4,9,10485.0,12934.0,1512.0,1512.0,Y,N,0.0,Inspection Hold
WO-00040,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Static/Vessels),Inspection,Planned,N,Northgate Industrial,2021-04-29,2021-05-12,2021-04-30,2021-05-17,156.3,199.4,11,23926.0,29501.0,3707.0,3707.0,Y,N,0.0,Inspection Hold
WO-00041,TAR-2021-CDU,Crude Distillation Unit,Inspection/NDT,Inspection,Planned,N,Northgate Industrial,2021-04-28,2021-05-04,2021-04-28,2021-05-04,103.4,81.1,2,17191.0,13755.0,1259.0,1259.0,Y,N,0.0,On Plan
WO-00042,TAR-2021-CDU,Crude Distillation Unit,Valves,Inspection,Emergent,Y,In-House Maintenance,2021-04-24,2021-06-02,2021-04-25,2021-07-26,432.70116762238564,1019.7,9,56403.0,125414.0,7500.0,10169.0,N,Y,0.0,Scope Growth / Discovery
WO-00043,TAR-2021-CDU,Crude Distillation Unit,Valves,Replacement,Planned,N,Delta Mechanical Ltd,2021-04-09,2021-04-17,2021-04-10,2021-04-18,74.3,76.8,6,10594.0,10887.0,1884.0,1884.0,Y,N,0.0,On Plan
WO-00044,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Static/Vessels),Overhaul,Planned,N,Sterling TAR Contractors,2021-04-26,2021-04-28,2021-04-27,2021-04-29,36.1,29.9,11,5990.0,5273.0,1816.0,1816.0,Y,N,0.0,On Plan
WO-00045,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Overhaul,Planned,N,Delta Mechanical Ltd,2021-04-10,2021-04-17,2021-04-10,2021-04-21,83.5,127.6,6,14941.0,21557.0,2414.0,2414.0,Y,N,0.0,Labor Productivity
WO-00046,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Overhaul,Planned,N,In-House Maintenance,2021-04-05,2021-04-07,2021-04-05,2021-04-07,41.0,34.8,4,5984.0,5130.0,337.0,337.0,Y,N,0.0,On Plan
WO-00047,TAR-2021-CDU,Crude Distillation Unit,Valves,Repair,Planned,N,Northgate Industrial,2021-04-14,2021-04-22,2021-04-14,2021-04-25,75.8,103.9,5,11584.0,15519.0,2746.0,3405.0,N,N,0.0,Material Delay
WO-00048,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Static/Vessels),Repair,Discovery,N,Delta Mechanical Ltd,2021-04-10,2021-04-12,2021-04-10,2021-04-14,27.8,53.0,3,3977.0,7071.0,730.0,881.0,N,N,0.0,Scope Growth / Discovery
WO-00049,TAR-2021-CDU,Crude Distillation Unit,Scaffolding,Repair,Planned,N,Sterling TAR Contractors,2021-04-10,2021-04-12,2021-04-11,2021-04-13,21.8,24.1,12,1741.0,1897.0,265.0,265.0,Y,N,0.0,Permit / Isolation Wait
WO-00050,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Static/Vessels),Repair,Planned,N,Sterling TAR Contractors,2021-04-16,2021-05-02,2021-04-16,2021-05-07,157.3,202.7,11,26600.0,32355.0,6660.0,6660.0,Y,N,0.0,Permit / Isolation Wait
WO-00051,TAR-2021-CDU,Crude Distillation Unit,Piping,Cleaning,Planned,N,Sterling TAR Contractors,2021-05-04,2021-05-29,2021-05-04,2021-06-08,391.5,541.7,6,42373.0,57276.0,4824.0,5322.0,N,N,0.0,Material Delay
WO-00052,TAR-2021-CDU,Crude Distillation Unit,Insulation,Replacement,Planned,N,Northgate Industrial,2021-04-18,2021-04-20,2021-04-19,2021-04-22,30.2,40.8,4,3800.0,4555.0,1649.0,1649.0,Y,N,8.3,Safety Stand-down
WO-00053,TAR-2021-CDU,Crude Distillation Unit,Civil,Repair,Planned,N,Apex Turnaround Services,2021-04-08,2021-04-15,2021-04-09,2021-04-18,104.3,128.0,5,12063.0,13887.0,4037.0,4037.0,Y,N,0.0,Permit / Isolation Wait
WO-00054,TAR-2021-CDU,Crude Distillation Unit,Piping,Overhaul,Planned,N,In-House Maintenance,2021-05-02,2021-05-05,2021-05-03,2021-05-06,39.2,35.6,5,5943.0,5587.0,2066.0,2066.0,Y,N,0.0,On Plan
WO-00055,TAR-2021-CDU,Crude Distillation Unit,Inspection/NDT,Replacement,Planned,N,Delta Mechanical Ltd,2021-04-15,2021-04-25,2021-04-15,2021-04-27,114.4,131.8,12,21625.0,24270.0,4230.0,4230.0,Y,N,0.0,Inspection Hold
WO-00056,TAR-2021-CDU,Crude Distillation Unit,Insulation,Cleaning,Discovery,N,In-House Maintenance,2021-04-22,2021-05-03,2021-04-22,2021-05-03,87.9,86.1,2,10546.0,10417.0,4234.0,4234.0,Y,N,0.0,On Plan
WO-00057,TAR-2021-CDU,Crude Distillation Unit,Electrical,Cleaning,Discovery,N,Apex Turnaround Services,2021-05-04,2021-05-06,2021-05-04,2021-05-06,37.3,36.0,9,5627.0,5456.0,718.0,718.0,Y,N,0.0,On Plan
WO-00058,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Replacement,Discovery,N,In-House Maintenance,2021-04-27,2021-05-02,2021-04-27,2021-05-05,81.9,133.8,10,12224.0,19727.0,698.0,897.0,N,N,0.0,Scope Growth / Discovery
WO-00059,TAR-2021-CDU,Crude Distillation Unit,Scaffolding,Cleaning,Planned,N,Sterling TAR Contractors,2021-04-07,2021-04-11,2021-04-08,2021-04-12,67.3,72.8,11,7701.0,8272.0,2958.0,3142.0,N,N,0.0,Material Delay
WO-00060,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Static/Vessels),Replacement,Planned,N,Apex Turnaround Services,2021-04-11,2021-04-14,2021-04-12,2021-04-16,50.4,66.4,3,6879.0,8795.0,844.0,844.0,Y,N,0.0,Permit / Isolation Wait
WO-00061,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Repair,Planned,N,In-House Maintenance,2021-04-13,2021-04-23,2021-04-13,2021-04-24,159.8,173.9,8,27992.0,29924.0,6096.0,6096.0,Y,N,0.0,Inspection Hold
WO-00062,TAR-2021-CDU,Crude Distillation Unit,Valves,Inspection,Discovery,N,Delta Mechanical Ltd,2021-04-15,2021-04-18,2021-04-15,2021-04-21,36.4,73.1,9,5522.0,9758.0,1425.0,1529.0,N,N,0.0,Scope Growth / Discovery
WO-00063,TAR-2021-CDU,Crude Distillation Unit,Inspection/NDT,Repair,Planned,N,Sterling TAR Contractors,2021-04-07,2021-04-16,2021-04-07,2021-04-17,164.9,183.9,4,27271.0,30135.0,2413.0,2413.0,Y,N,0.0,Labor Productivity
WO-00064,TAR-2021-CDU,Crude Distillation Unit,Piping,Repair,Planned,N,Apex Turnaround Services,2021-04-23,2021-05-04,2021-04-23,2021-05-04,151.5,157.6,13,22079.0,22686.0,6995.0,6995.0,Y,N,0.0,On Plan
WO-00065,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Replacement,Planned,N,Delta Mechanical Ltd,2021-04-10,2021-04-23,2021-04-11,2021-04-26,121.1,139.0,12,19021.0,21443.0,2632.0,2632.0,Y,N,0.0,Labor Productivity
WO-00066,TAR-2021-CDU,Crude Distillation Unit,Inspection/NDT,Replacement,Planned,N,Delta Mechanical Ltd,2021-04-07,2021-04-14,2021-04-07,2021-04-14,61.0,57.4,5,10473.0,9937.0,1399.0,1399.0,Y,N,0.0,On Plan
WO-00067,TAR-2021-CDU,Crude Distillation Unit,Instrumentation,Replacement,Planned,N,In-House Maintenance,2021-05-03,2021-05-12,2021-05-04,2021-05-13,78.7,81.4,10,10980.0,11339.0,490.0,490.0,Y,N,0.0,On Plan
WO-00068,TAR-2021-CDU,Crude Distillation Unit,Valves,Repair,Planned,N,In-House Maintenance,2021-04-21,2021-04-28,2021-04-21,2021-04-28,142.2,150.5,13,20749.0,21708.0,4313.0,4313.0,Y,N,0.0,Labor Productivity
WO-00069,TAR-2021-CDU,Crude Distillation Unit,Scaffolding,Repair,Planned,N,Sterling TAR Contractors,2021-04-26,2021-04-27,2021-04-26,2021-04-28,13.7,21.3,2,1655.0,2311.0,645.0,741.0,N,N,0.0,Material Delay
